"C2API_Version","Export_Date","Token","Precontext","Sentence","Postcontext"
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","längeren","Franken zwischen Huber+Suhner und Eisenbahnbrücke rund 40 000 m² verbaut werden.","Die Bauarbeiten werden sich über einen längeren Zeitraum erstrecken; das Unternehmen wird voraussichtlich Ende 2010 von der Oberdorfstrasse ins Hölzli umziehen.","Die Huber Fenster AG investiert an der St."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Während der Geist verschwommen ist, sind die Gefühle und die Sensitivität aber um so stärker, vor allem unter dem Fische-Mond bis am späten Samstagnachmittag.","Wenn der Mond dann um etwa 17 Uhr in den Widder eintritt, ist man nicht mehr ganz so empfindlich und verspürt wieder etwas mehr Tatendrang.","Wer arbeiten muss, sollte das am späten Sonntagnachmittag tun."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Wer arbeiten muss, sollte das am späten Sonntagnachmittag tun.","Dann trifft der Mond auf Saturn, der für Pflicht und Arbeit steht, und dann sinkt auch die Stimmungskurve etwas nach unten.","Monica Kissling"
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond:",NA,"Sonne: Im Mai nimmt die Tageslänge weiter zu, von 14 Stunden und 23 Minuten auf 15 Stunden 36 Minuten. Mond: Neumond ist in diesem Monat am sechsten.","Drei Tage zuvor, am dritten, befindet er sich in Erdnähe, dasselbe ist auch am 29. nochmals der Fall."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Drei Tage zuvor, am dritten, befindet er sich in Erdnähe, dasselbe ist auch am 29. nochmals der Fall.","Im ersten Viertel sehen wir den Mond am 14., der Vollmond strahlt am 22.","Schliesslich befindet er sich am 29. im letzten Viertel."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Eher als Jux anzusehen ist ein Exponat vom 12.","Juli 1969, das zu einer Fahrt zum Mond via Gurten berechtigt.","Bauer, heute Leiter eines Arbeitslosen-Projekts, das historisches Rollmaterial mit zum Teil hochqualifizierten Fachleuten in Burgdorf restauriert, will möglichst viele Billetts vor der Vernichtung bewahren."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond»","Reiselustiger Männerchor","Reiselustig wirkten die Männer, denn dies zeigen die Titel «Zieh in die Welt» von Walter Höfling, der «Fliegermarsch» aus der Operette «Der fliegende Rittmeister» von Hermann Dostal, im Lied «Mann im Mond» von Tobias Künzel und im «Ol' Man River» aus dem Musical «Showboat» von Jerome Kern.","Beschwingt und unternehmungslustig zeigte sich der Männerchor auch in seinen Beiträgen."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Zwischenmenschliche Kontakte dürften im Moment noch unbelastet und anregend sein.","Am Sonntagmorgen gerät der Mond kurzfristig in einen kritischen Kontakt mit Saturn: Da reagiert man empfindlicher, und vielleicht liegt einem auch etwas auf dem Magen oder man ist ganz einfach nicht so recht fit.","Dank einer Jupiter-Sonne-Verbindung kommt man aber schnell wieder in Schwung."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond».","Noch bis am kommenden Sonntag findet die «Woche des offenen Dachs» statt.","Der erste Abend in dieser Veranstaltungs-Reihe stand unter dem Motto «Unser Mond». ","5 Seite «Unterrheintal»: «Eine"
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond",NA,"5 Seite «Unterrheintal»: «Eine stahl dem Mond die »",NA
